species,zoonotic_capacity_score,above_50,top_10_percent,bootstraps_above_50,mean_zoonotic_capacity_score,sd_zoonotic_capacity_score
Aethalops aequalis,0.559051916,1,0,40,0.581467293,0.081805617
Aethalops alecto,0.689744971,1,0,49,0.649759529,0.088559493
Aethomys bocagei,0.293973008,0,0,8,0.409186877,0.084736562
Aethomys chrysophilus,0.129677508,0,0,0,0.230343057,0.072565343
Aethomys hindei,0.363473001,0,0,14,0.457179594,0.087125912
Aethomys ineptus,0.052693708,0,0,0,0.121330856,0.04655277
Aethomys kaiseri,0.240481888,0,0,0,0.342341267,0.072661065
Aethomys nyikae,0.19790225,0,0,0,0.297489177,0.071084988
Aethomys silindensis,0.440594545,0,0,11,0.434553373,0.078568566
Aethomys stannarius,0.500162151,1,0,35,0.531215387,0.097701323
Aethomys thomasi,0.145330554,0,0,0,0.251296943,0.073206573
Ailuropoda melanoleuca,0.914405794,1,1,50,0.81536088,0.058709564
Ailurops melanotis,0.218942298,0,0,0,0.262625562,0.067674685
Ailurops ursinus,0.852096103,1,1,50,0.805145695,0.067925141
Ailurus fulgens,0.908115575,1,1,50,0.843782029,0.052027853
Akodon aerosus,0.457182373,0,0,17,0.463525929,0.078472692
Akodon affinis,0.727290569,1,0,49,0.660265141,0.090749203
Akodon albiventer,0.245372964,0,0,0,0.24772032,0.075387059
Akodon aliquantulus,0.128619425,0,0,0,0.173336792,0.049215107
Akodon azarae,0.102155823,0,0,0,0.176229203,0.060911487
Akodon bogotensis,0.432100032,0,0,21,0.474138735,0.088453613
Akodon boliviensis,0.258179469,0,0,0,0.2934377,0.087399154
Akodon budini,0.301135336,0,0,0,0.261202106,0.074812365
Akodon cursor,0.390661045,0,0,3,0.385578901,0.077466335
Akodon dayi,0.448416773,0,0,10,0.441749119,0.071587483
Akodon dolores,0.193017646,0,0,0,0.225453445,0.061698226
Akodon fumeus,0.317810174,0,0,0,0.337794521,0.075378745
Akodon iniscatus,0.240399164,0,0,0,0.233660136,0.071463195
Akodon juninensis,0.333493089,0,0,0,0.368187181,0.080907596
Akodon kofordi,0.446810929,0,0,3,0.37460993,0.082754053
Akodon latebricola,0.425008837,0,0,12,0.442466757,0.081992466
Akodon leucolimnaeus,0.10545267,0,0,0,0.151521206,0.054030227
Akodon lindberghi,0.310651091,0,0,3,0.370945563,0.083281254
Akodon lutescens,0.208898711,0,0,0,0.254179097,0.080123055
Akodon mimus,0.255764303,0,0,0,0.314929066,0.08314704
Akodon molinae,0.193209546,0,0,0,0.222693832,0.06916003
Akodon mollis,0.490288213,0,0,20,0.474397285,0.075515294
Akodon montensis,0.095839988,0,0,0,0.159224997,0.053597386
Akodon mystax,0.109824692,0,0,0,0.15414965,0.056963714
Akodon neocenus,0.21692091,0,0,0,0.227385764,0.069989632
Akodon oenos,0.141403159,0,0,0,0.176335276,0.052911502
Akodon orophilus,0.448536889,0,0,4,0.418471329,0.07244622
Akodon paranaensis,0.082087252,0,0,0,0.144014565,0.054804281
Akodon pervalens,0.112105111,0,0,0,0.164755447,0.053007886
Akodon reigi,0.073002129,0,0,0,0.134734487,0.053047915
Akodon sanctipaulensis,0.448916156,0,0,6,0.399133998,0.084913322
Akodon serrensis,0.390132954,0,0,7,0.405437961,0.07741669
Akodon siberiae,0.412656723,0,0,2,0.381919945,0.079489762
Akodon simulator,0.306329473,0,0,0,0.303283638,0.076607079
Akodon spegazzinii,0.325944846,0,0,0,0.323010784,0.087127055
Akodon subfuscus,0.290986828,0,0,0,0.32924783,0.078532846
Akodon surdus,0.416955707,0,0,1,0.361026615,0.080681676
Akodon sylvanus,0.364383455,0,0,2,0.346574458,0.078058124
Akodon toba,0.344757777,0,0,1,0.338074732,0.071713056
Akodon torques,0.392779502,0,0,5,0.395231057,0.079924198
Akodon varius,0.28614206,0,0,0,0.311033048,0.071920042
Alcelaphus buselaphus,0.834800859,1,1,50,0.792249936,0.06576353
Alcelaphus caama,0.424482629,0,0,7,0.406623294,0.070940289
Alcelaphus lichtensteinii,0.749984676,1,0,50,0.709375327,0.066676602
Alces alces,0.500627725,1,0,31,0.522836558,0.104475785
Alces americanus,0.212439024,0,0,0,0.268199843,0.068098336
Alionycteris paucidentata,0.574480725,1,0,36,0.5489936,0.09252909
Allactaga balikunica,0.322275458,0,0,1,0.328954879,0.066573103
Allactaga bullata,0.386196194,0,0,3,0.359929292,0.079919812
Allactaga elater,0.230112445,0,0,1,0.325404819,0.089706813
Allactaga euphratica,0.098616979,0,0,0,0.165644078,0.051125621
Allactaga firouzi,0.303535706,0,0,1,0.351042264,0.087613682
Allactaga hotsoni,0.284878853,0,0,2,0.371817594,0.090293465
Allactaga major,0.135558476,0,0,0,0.253042005,0.071200255
Allactaga severtzovi,0.237305221,0,0,0,0.317065034,0.068260093
Allactaga sibirica,0.180785066,0,0,0,0.273388086,0.066949122
Allactaga tetradactyla,0.253095597,0,0,1,0.338275967,0.081231703
Allactaga vinogradovi,0.184220836,0,0,0,0.290399039,0.071721293
Allactaga williamsi,0.077795314,0,0,0,0.137040837,0.046470758
Allactodipus bobrinskii,0.271313495,0,0,2,0.363519453,0.074301082
Allenopithecus nigroviridis,0.828682576,1,1,50,0.797360634,0.05215933
Allocebus trichotis,0.745086383,1,0,50,0.71811626,0.073050225
Allocricetulus curtatus,0.35543055,0,0,1,0.387264184,0.080509036
Allocricetulus eversmanni,0.214075082,0,0,0,0.332300541,0.066064979
Alouatta belzebul,0.874179871,1,1,50,0.834716916,0.043623693
Alouatta caraya,0.677860629,1,0,49,0.667303952,0.06748651
Alouatta coibensis,0.930533458,1,1,50,0.885213046,0.036864378
Alouatta guariba,0.674890943,1,0,48,0.658126558,0.07558684
Alouatta macconnelli,0.876750699,1,1,50,0.825715599,0.051490828
Alouatta nigerrima,0.842997827,1,1,50,0.788259489,0.060958265
Alouatta palliata,0.861268176,1,1,50,0.841060562,0.049853445
Alouatta pigra,0.94040707,1,1,50,0.906659995,0.033463295
Alouatta sara,0.825918355,1,0,50,0.774101714,0.057604159
Alouatta seniculus,0.944507828,1,1,50,0.907745591,0.034970483
Alticola albicaudus,0.58938058,1,0,30,0.519958157,0.088796114
Alticola argentatus,0.611759815,1,0,35,0.535208051,0.098009198
Alticola barakshin,0.448319299,0,0,6,0.397073865,0.076829605
Alticola lemminus,0.26573479,0,0,0,0.29197403,0.065822812
Alticola macrotis,0.385990935,0,0,0,0.3493913,0.067275855
Alticola montosa,0.625207367,1,0,34,0.541253653,0.094288826
Alticola olchonensis,0.101065557,0,0,0,0.154852602,0.047112171
Alticola roylei,0.578725441,1,0,26,0.516221847,0.085336887
Alticola semicanus,0.599226028,1,0,23,0.500104554,0.099709897
Alticola stoliczkanus,0.49750376,0,0,20,0.462321437,0.082862419
Alticola strelzowi,0.275115851,0,0,0,0.338021591,0.067448847
Alticola tuvinicus,0.4085064,0,0,2,0.372719931,0.072699878
Amblysomus corriae,0.108193684,0,0,0,0.172444858,0.060953593
Amblysomus hottentotus,0.200292333,0,0,0,0.262737483,0.071493623
Amblysomus marleyi,0.331773896,0,0,2,0.359047588,0.076880749
Amblysomus robustus,0.2684078,0,0,0,0.304926473,0.077608075
Amblysomus septentrionalis,0.236916794,0,0,0,0.2802784,0.074754667
Ametrida centurio,0.512924873,1,0,34,0.53360644,0.094848128
Ammodillus imbellis,0.475607041,0,0,37,0.545593661,0.08625112
Ammodorcas clarkei,0.847835223,1,1,50,0.784089484,0.059462067
Ammospermophilus harrisii,0.350654128,0,0,12,0.422649843,0.112416166
Ammospermophilus insularis,0.404104117,0,0,16,0.455348957,0.09417043
Ammospermophilus interpres,0.186845756,0,0,2,0.332506557,0.106261099
Ammospermophilus leucurus,0.550012552,1,0,34,0.562655225,0.134147557
Ammospermophilus nelsoni,0.141707331,0,0,0,0.28058945,0.106314178
Ammotragus lervia,0.740200798,1,0,49,0.65529813,0.072738649
Amorphochilus schnablii,0.114983995,0,0,0,0.188711821,0.085446499
Amphinectomys savamis,0.097075272,0,0,0,0.153145283,0.057649571
Anathana ellioti,0.69295109,1,0,48,0.648257796,0.095043553
Andalgalomys olrogi,0.191683943,0,0,0,0.251767616,0.073049308
Andalgalomys pearsoni,0.384819715,0,0,5,0.403183485,0.075937668
Andalgalomys roigi,0.064576077,0,0,0,0.131212683,0.051022261
Andinomys edax,0.100079446,0,0,0,0.173971272,0.06776683
Anisomys imitator,0.492301459,0,0,39,0.563083102,0.082704427
Anomalurus beecrofti,0.614446731,1,0,45,0.626570327,0.094298888
Anomalurus derbianus,0.476613282,0,0,37,0.566979375,0.097235609
Anomalurus pelii,0.764321393,1,0,50,0.760673435,0.078809036
Anomalurus pusillus,0.626630979,1,0,47,0.646195984,0.093177315
Anonymomys mindorensis,0.695150603,1,0,49,0.669528351,0.072391239
Anotomys leander,0.484540422,0,0,18,0.474053228,0.099815997
Anoura caudifer,0.24235065,0,0,2,0.342977024,0.08675471
Anoura cultrata,0.351735199,0,0,11,0.430414351,0.09285381
Anoura geoffroyi,0.277858424,0,0,2,0.351335882,0.090654208
Anoura latidens,0.511528577,1,0,31,0.533911691,0.085113175
Anoura luismanueli,0.338699358,0,0,9,0.419784803,0.095697311
Anourosorex assamensis,0.053569527,0,0,0,0.109098766,0.045227292
Anourosorex schmidi,0.042827274,0,0,0,0.096158295,0.043315667
Anourosorex squamipes,0.442948433,0,0,18,0.45645927,0.107678697
Anourosorex yamashinai,0.455918788,0,0,14,0.451829622,0.094551655
Antechinomys laniger,0.119673529,0,0,0,0.176647532,0.056829686
Antechinus adustus,0.400723411,0,0,8,0.422034488,0.077395778
Antechinus agilis,0.11919592,0,0,0,0.192722914,0.066258001
Antechinus bellus,0.474755381,0,0,20,0.482843822,0.104526246
Antechinus flavipes,0.098645404,0,0,0,0.154964492,0.05100661
Antechinus godmani,0.268872714,0,0,0,0.311556447,0.073076108
Antechinus leo,0.404656634,0,0,7,0.407831836,0.091956052
Antechinus minimus,0.110488181,0,0,0,0.182815732,0.05998843
Antechinus stuartii,0.122394063,0,0,0,0.189535256,0.055939893
Antechinus subtropicus,0.402538726,0,0,0,0.381104847,0.066988873
Antechinus swainsonii,0.107657026,0,0,0,0.181777013,0.059059505
Anthops ornatus,0.707836494,1,0,46,0.634703746,0.085794179
Antidorcas marsupialis,0.715207214,1,0,49,0.619326661,0.067413133
Antilocapra americana,0.799538399,1,0,50,0.720093231,0.075856889
Antilope cervicapra,0.855946772,1,1,50,0.798022609,0.063809858
Antrozous pallidus,0.130310739,0,0,0,0.192272752,0.071330859
Aonyx capensis,0.480477427,0,0,24,0.525566507,0.126526158
Aonyx cinereus,0.592379274,1,0,45,0.644668891,0.113817519
Aotus azarae,0.791262396,1,0,50,0.741244841,0.063061661
Aotus hershkovitzi,0.768405263,1,0,50,0.738922401,0.060837083
Aotus lemurinus,0.927283493,1,1,50,0.888195435,0.041541473
Aotus miconax,0.815518477,1,0,50,0.745587129,0.063935547
Aotus nancymaae,0.903507958,1,1,50,0.844367798,0.067403248
Aotus nigriceps,0.896490236,1,1,50,0.829719136,0.061074079
Aotus trivirgatus,0.923203163,1,1,50,0.866695315,0.04986504
Aotus vociferans,0.870612308,1,1,50,0.824529365,0.05654935
Aplodontia rufa,0.477972136,0,0,26,0.49348902,0.106448756
Apodemus agrarius,0.327734307,0,0,5,0.390483354,0.081977406
Apodemus alpicola,0.450424761,0,0,12,0.464648112,0.091398663
Apodemus argenteus,0.730092213,1,0,41,0.60568158,0.114014718
Apodemus chevrieri,0.512100185,1,0,27,0.506208271,0.100327124
Apodemus draco,0.751342184,1,0,43,0.629355106,0.107906776
Apodemus epimelas,0.304323471,0,0,4,0.374568345,0.085871281
Apodemus flavicollis,0.665198447,1,0,43,0.61577191,0.103702117
Apodemus gurkha,0.574906843,1,0,38,0.550404095,0.084809199
Apodemus hyrcanicus,0.507450119,1,0,21,0.488513921,0.084047974
Apodemus latronum,0.602221962,1,0,35,0.547224864,0.084548275
Apodemus mystacinus,0.484813934,0,0,18,0.490565369,0.084639897
Apodemus pallipes,0.539449211,1,0,28,0.515163884,0.088147999
Apodemus peninsulae,0.687455334,1,0,39,0.58656868,0.112281589
Apodemus ponticus,0.603512383,1,0,36,0.564621121,0.089204455
Apodemus rusiges,0.518910546,1,0,30,0.528586753,0.09324474
Apodemus semotus,0.728283284,1,0,46,0.618766361,0.105065512
Apodemus speciosus,0.734174614,1,0,42,0.603625862,0.108748078
Apodemus sylvaticus,0.645637291,1,0,42,0.610034252,0.110974994
Apodemus uralensis,0.459982429,0,0,16,0.452314399,0.090519463
Apodemus witherbyi,0.446232289,0,0,17,0.456545408,0.097753662
Apomys abrae,0.779035693,1,0,48,0.672508482,0.098220679
Apomys datae,0.662298895,1,0,44,0.614157023,0.093260283
Apomys gracilirostris,0.077322611,0,0,0,0.126184267,0.052664954
Apomys hylocetes,0.674849672,1,0,47,0.630335913,0.094396034
Apomys insignis,0.708847878,1,0,49,0.671063442,0.09619979
Apomys littoralis,0.823941459,1,0,50,0.727604498,0.086439589
Apomys microdon,0.866157625,1,1,50,0.773356094,0.082715422
Apomys musculus,0.79873767,1,0,50,0.717983303,0.089462319
Apomys sacobianus,0.800851596,1,0,50,0.712047859,0.084336334
Aproteles bulmerae,0.627030728,1,0,43,0.588634512,0.08320516
Arborimus albipes,0.14186518,0,0,0,0.256115062,0.085056491
Arborimus longicaudus,0.222736784,0,0,0,0.312321485,0.086536396
Arborimus pomo,0.288793054,0,0,1,0.311335843,0.072368897
Archboldomys luzonensis,0.850398473,1,1,50,0.735569558,0.080157711
Archboldomys musseri,0.068618977,0,0,0,0.123084153,0.049313176
Arctictis binturong,0.796407124,1,0,50,0.805994492,0.064846231
Arctocebus aureus,0.777234279,1,0,50,0.730686263,0.074768269
Arctocebus calabarensis,0.824737731,1,0,50,0.767448643,0.082098831
Arctocephalus australis,0.215545858,0,0,0,0.282340212,0.061144343
Arctocephalus forsteri,0.312191842,0,0,0,0.332111882,0.061023431
Arctocephalus galapagoensis,0.267652537,0,0,0,0.306562668,0.068559322
Arctocephalus gazella,0.173747688,0,0,0,0.23863957,0.060280562
Arctocephalus philippii,0.194501097,0,0,0,0.25800085,0.064436645
Arctocephalus pusillus,0.166404878,0,0,0,0.221981935,0.059182152
Arctocephalus townsendi,0.188766728,0,0,0,0.249886556,0.06395016
Arctocephalus tropicalis,0.313793015,0,0,0,0.329806356,0.057561668
Arctogalidia trivirgata,0.530895379,1,0,46,0.624898419,0.107190979
Arctonyx collaris,0.586239048,1,0,41,0.611459124,0.108977308
Ardops nichollsi,0.615077929,1,0,35,0.558184229,0.08765305
Arielulus aureocollaris,0.510532612,1,0,30,0.508665766,0.089787738
Arielulus circumdatus,0.197552144,0,0,1,0.316744603,0.087258065
Arielulus cuprosus,0.723901786,1,0,49,0.670072878,0.086160438
Arielulus societatis,0.735300376,1,0,49,0.665693054,0.091197318
Arielulus torquatus,0.513881247,1,0,16,0.465475866,0.097524885
Ariteus flavescens,0.636580502,1,0,40,0.552234235,0.085904223
Artibeus amplus,0.645927897,1,0,47,0.609278806,0.092839299
Artibeus anderseni,0.593117431,1,0,43,0.581159962,0.096470369
Artibeus aztecus,0.37431165,0,0,16,0.454353074,0.103106404
Artibeus cinereus,0.656420451,1,0,47,0.637826536,0.094275556
Artibeus concolor,0.52152731,1,0,33,0.534656534,0.092469618
Artibeus fimbriatus,0.261220682,0,0,0,0.322186444,0.077387617
Artibeus fraterculus,0.308067097,0,0,4,0.356110917,0.086243642
Artibeus glaucus,0.574991181,1,0,44,0.583733474,0.090318737
Artibeus gnomus,0.534682653,1,0,38,0.560554223,0.088059364
Artibeus hirsutus,0.422437817,0,0,19,0.475903042,0.086678323
Artibeus incomitatus,0.486844028,0,0,20,0.479568777,0.076320775
Artibeus inopinatus,0.34532927,0,0,19,0.458107722,0.097801202
Artibeus jamaicensis,0.525014364,1,0,28,0.518205137,0.090183783
Artibeus lituratus,0.583919327,1,0,39,0.567754428,0.085134292
Artibeus obscurus,0.56179766,1,0,37,0.55474675,0.085398043
Artibeus phaeotis,0.428852396,0,0,24,0.487379903,0.096536937
Artibeus toltecus,0.402176871,0,0,22,0.475083541,0.100995293
Artibeus watsoni,0.605850877,1,0,44,0.613584605,0.084551034
Arvicanthis abyssinicus,0.426464782,0,0,17,0.467512235,0.07300576
Arvicanthis ansorgei,0.137356306,0,0,0,0.19509321,0.05818009
Arvicanthis blicki,0.467128846,0,0,17,0.460967646,0.079398268
Arvicanthis nairobae,0.444874367,0,0,27,0.498349621,0.072027653
Arvicanthis neumanni,0.539924295,1,0,37,0.553911347,0.077955098
Arvicanthis niloticus,0.55448398,1,0,40,0.558581191,0.093082701
Arvicanthis rufinus,0.126441172,0,0,0,0.187655052,0.056342341
Arvicola amphibius,0.684933151,1,0,42,0.605446639,0.104558282
Arvicola sapidus,0.383971348,0,0,10,0.419656496,0.095560256
Arvicola scherman,0.153514948,0,0,0,0.210680705,0.062084105
Asellia patrizii,0.511215778,1,0,35,0.552813715,0.091761094
Asellia tridens,0.188867903,0,0,1,0.277290914,0.092770233
Aselliscus stoliczkanus,0.45836922,0,0,16,0.466195739,0.091805528
Aselliscus tricuspidatus,0.54690867,1,0,31,0.52784473,0.10161395
Atelerix albiventris,0.333406085,0,0,11,0.430645093,0.100143132
Atelerix algirus,0.311781335,0,0,8,0.420362752,0.112399168
Atelerix frontalis,0.058958657,0,0,0,0.178571885,0.078227442
Atelerix sclateri,0.388710871,0,0,24,0.482900176,0.087854563
Ateles belzebuth,0.926243355,1,1,50,0.883541787,0.040637476
Ateles chamek,0.91601256,1,1,50,0.876121,0.041772251
Ateles fusciceps,0.940695548,1,1,50,0.911199476,0.032199687
Ateles geoffroyi,0.956175732,1,1,50,0.92784484,0.028463652
Ateles hybridus,0.905418566,1,1,50,0.872490732,0.037989196
Ateles marginatus,0.89125406,1,1,50,0.851690903,0.045927034
Ateles paniscus,0.924213144,1,1,50,0.882992786,0.042013509
Atelocynus microtis,0.490370554,0,0,23,0.489835091,0.084203104
Atherurus africanus,0.681069773,1,0,49,0.683928066,0.080843496
Atherurus macrourus,0.729431312,1,0,50,0.716311162,0.079820127
Atilax paludinosus,0.562113792,1,0,44,0.612789999,0.09754804
Atlantoxerus getulus,0.358615504,0,0,8,0.399430259,0.098517322
Auliscomys boliviensis,0.106739498,0,0,0,0.197726231,0.064648723
Auliscomys pictus,0.28002158,0,0,0,0.3036174,0.070129034
Auliscomys sublimis,0.133161505,0,0,0,0.191395013,0.061486664
Avahi laniger,0.777581873,1,0,50,0.757879625,0.063510658
Avahi occidentalis,0.865110179,1,1,50,0.804460529,0.059037348
Avahi unicolor,0.734373139,1,0,49,0.668858307,0.072418632
Axis axis,0.946952251,1,1,50,0.885739521,0.042367446
Axis calamianensis,0.922705608,1,1,50,0.845454321,0.048413965
Axis kuhlii,0.922409424,1,1,50,0.827978842,0.060330837
Axis porcinus,0.829510854,1,1,50,0.792954605,0.058135725
Babyrousa babyrussa,0.814983727,1,0,50,0.739737577,0.081836718
Babyrousa bolabatuensis,0.166451806,0,0,0,0.239742801,0.076577991
Babyrousa celebensis,0.831924549,1,1,50,0.777871464,0.065146391
Babyrousa togeanensis,0.850909182,1,1,50,0.779852245,0.066930611
Baiomys musculus,0.36838706,0,0,18,0.46681087,0.108886197
Baiomys taylori,0.44322226,0,0,11,0.430844715,0.107116048
Balaena mysticetus,0.177653639,0,0,0,0.232728855,0.057409275
Balaenoptera acutorostrata,0.073180324,0,0,0,0.137678899,0.053194181
Balaenoptera bonaerensis,0.113900977,0,0,0,0.184744652,0.054375081
Balaenoptera borealis,0.108235024,0,0,0,0.179766731,0.054953415
Balaenoptera edeni,0.11155518,0,0,0,0.18192776,0.056120166
Balaenoptera musculus,0.11058731,0,0,0,0.177774078,0.053254695
Balaenoptera physalus,0.114510894,0,0,0,0.185300297,0.054321764
Balantiopteryx infusca,0.400893689,0,0,19,0.457673778,0.088868023
Balantiopteryx io,0.497850473,0,0,31,0.527528792,0.093677421
Balantiopteryx plicata,0.287781403,0,0,8,0.395011798,0.108479359
Balionycteris maculata,0.768814184,1,0,50,0.719685439,0.083356551
Bandicota bengalensis,0.430732111,0,0,19,0.487524445,0.107150598
Bandicota indica,0.349832019,0,0,13,0.439880173,0.10239573
Bandicota savilei,0.807594608,1,0,50,0.744586296,0.083755567
Barbastella barbastellus,0.104833062,0,0,0,0.214407609,0.084586293
Barbastella leucomelas,0.144459633,0,0,1,0.263626473,0.099376232
Bassaricyon alleni,0.660698069,1,0,46,0.623292121,0.085337515
Bassaricyon beddardi,0.788330081,1,0,49,0.707947166,0.082601292
Bassaricyon gabbii,0.660744115,1,0,49,0.659899477,0.080818534
Bassaricyon lasius,0.811368876,1,0,50,0.745452956,0.069077162
Bassaricyon pauli,0.869155325,1,1,50,0.794504061,0.070595126
Bassariscus astutus,0.714099072,1,0,47,0.630256395,0.110170081
Bassariscus sumichrasti,0.620493375,1,0,46,0.657139578,0.094157616
Bathyergus janetta,0.460481743,0,0,1,0.321757364,0.081491682
Bathyergus suillus,0.357514435,0,0,0,0.314072544,0.073587008
Batomys dentatus,0.722442401,1,0,48,0.657249668,0.091262447
Batomys granti,0.662498718,1,0,48,0.623646133,0.091186897
Batomys russatus,0.115516481,0,0,0,0.153563049,0.058352592
Batomys salomonseni,0.805272268,1,0,50,0.731993082,0.0847204
Bauerus dubiaquercus,0.592213928,1,0,41,0.581372663,0.092819251
Bdeogale crassicauda,0.53088882,1,0,39,0.56016737,0.083324922
Bdeogale jacksoni,0.621192324,1,0,47,0.617009969,0.073073534
Bdeogale nigripes,0.686926554,1,0,48,0.682465631,0.080001467
Beamys hindei,0.587872135,1,0,46,0.62572324,0.09496501
Beamys major,0.341094345,0,0,8,0.418605699,0.081002677
Beatragus hunteri,0.799622799,1,0,50,0.702213167,0.066981103
Belomys pearsonii,0.49117205,0,0,31,0.536836837,0.093336112
Berardius arnuxii,0.118100176,0,0,0,0.178463798,0.056957924
Berardius bairdii,0.138267059,0,0,0,0.199645552,0.057739706
Berylmys berdmorei,0.778617759,1,0,50,0.750289398,0.081416303
Berylmys bowersi,0.566432055,1,0,41,0.578987678,0.0990552
Berylmys mackenziei,0.449540584,0,0,35,0.558493611,0.100538734
Berylmys manipulus,0.301962774,0,0,12,0.435166426,0.090141988
Bettongia gaimardi,0.206415564,0,0,0,0.240696011,0.079852462
Bettongia lesueur,0.284710488,0,0,0,0.280926526,0.073712846
Bettongia penicillata,0.487743906,0,0,7,0.409128777,0.096242275
Bettongia tropica,0.551184141,1,0,21,0.495519821,0.110565454
Bibimys chacoensis,0.25482908,0,0,0,0.296583528,0.078591088
Bibimys labiosus,0.27505806,0,0,0,0.338492252,0.076487325
Bibimys torresi,0.209066203,0,0,0,0.253262892,0.071248829
Bison bison,0.80752775,1,0,49,0.727986935,0.074320345
Bison bonasus,0.556726493,1,0,32,0.509310486,0.08067646
Biswamoyopterus biswasi,0.580175642,1,0,42,0.599242183,0.105938363
Blanfordimys afghanus,0.474361844,0,0,25,0.504495653,0.088286249
Blanfordimys bucharensis,0.515276002,1,0,28,0.520089076,0.087690984
Blarina brevicauda,0.4564058,0,0,10,0.420284039,0.103317272
Blarina carolinensis,0.486868945,0,0,18,0.478747615,0.111723742
Blarina hylophaga,0.297082256,0,0,1,0.333406494,0.087528689
Blarina peninsulae,0.09353123,0,0,0,0.155787386,0.053379071
Blarinella griselda,0.034089677,0,0,0,0.098423727,0.048269848
Blarinella quadraticauda,0.047104524,0,0,0,0.105786593,0.050431212
Blarinella wardi,0.32585308,0,0,2,0.403854854,0.082072755
Blarinomys breviceps,0.431086217,0,0,13,0.441325365,0.082891005
Blastocerus dichotomus,0.505821968,1,0,18,0.485103722,0.075471486
