species,zoonotic_capacity_score,above_50,top_10_percent,bootstraps_above_50,mean_zoonotic_capacity_score,sd_zoonotic_capacity_score
Abditomys latidens,0.713974097,1,0,49,0.640442262,0.084408049
Abeomelomys sevia,0.644936967,1,0,43,0.595028248,0.08575659
Abrawayaomys ruschii,0.310428409,0,0,4,0.388918529,0.086255837
Abrocoma bennettii,0.118142265,0,0,0,0.186692361,0.065930539
Abrocoma boliviensis,0.329485841,0,0,0,0.348057962,0.078773286
Abrocoma budini,0.096085002,0,0,0,0.139111946,0.054744875
Abrocoma cinerea,0.175114629,0,0,0,0.2291345,0.080602494
Abrocoma famatina,0.098956231,0,0,0,0.143169669,0.055444359
Abrocoma shistacea,0.089490725,0,0,0,0.132874857,0.053802897
Abrocoma uspallata,0.097466917,0,0,0,0.149052025,0.059863246
Abrocoma vaccarum,0.10418982,0,0,0,0.151826325,0.057031984
Abrothrix andinus,0.303247675,0,0,0,0.272321735,0.078570056
Abrothrix hershkovitzi,0.22466228,0,0,0,0.216791385,0.067285439
Abrothrix illuteus,0.266092427,0,0,0,0.286236529,0.076783456
Abrothrix jelskii,0.301468226,0,0,0,0.309378487,0.083364184
Abrothrix lanosus,0.238179738,0,0,0,0.230220412,0.070231392
Abrothrix longipilis,0.227627406,0,0,0,0.263924553,0.076911075
Abrothrix markhami,0.200838658,0,0,0,0.243690829,0.076944337
Abrothrix olivaceus,0.264063495,0,0,1,0.29093852,0.091708371
Abrothrix sanborni,0.238483307,0,0,0,0.247842235,0.089922207
Acerodon celebensis,0.798471966,1,0,50,0.731978471,0.072252326
Acerodon humilis,0.657814706,1,0,47,0.61016002,0.076962492
Acerodon jubatus,0.915244134,1,1,50,0.837833601,0.061608969
Acerodon leucotis,0.870670531,1,1,50,0.774731296,0.070999433
Acerodon mackloti,0.898973601,1,1,50,0.821087693,0.069327044
Acinonyx jubatus,0.321360196,0,0,20,0.494453203,0.191370405
Acomys airensis,0.150800574,0,0,0,0.217871308,0.056202168
Acomys cahirinus,0.376732633,0,0,2,0.371412194,0.085717605
Acomys chudeaui,0.144702274,0,0,0,0.209731816,0.05564918
Acomys cilicicus,0.492040304,0,0,13,0.440705353,0.087323507
Acomys cineraceus,0.170975421,0,0,0,0.238000942,0.059118099
Acomys dimidiatus,0.598794208,1,0,38,0.569602522,0.081416264
Acomys ignitus,0.663074243,1,0,48,0.642730856,0.084575748
Acomys johannis,0.152903811,0,0,0,0.220232019,0.056835699
Acomys kempi,0.598332003,1,0,41,0.572646289,0.081315056
Acomys louisae,0.631969161,1,0,41,0.579687836,0.07749438
Acomys minous,0.466594507,0,0,6,0.402412539,0.080048455
Acomys mullah,0.528926011,1,0,34,0.547315288,0.090069568
Acomys nesiotes,0.559734353,1,0,22,0.489410221,0.089059799
Acomys percivali,0.440665249,0,0,19,0.468786646,0.072386057
Acomys russatus,0.731254046,1,0,49,0.669122127,0.082574012
Acomys seurati,0.146645219,0,0,0,0.212613496,0.05584725
Acomys spinosissimus,0.379223071,0,0,2,0.381924182,0.063366999
Acomys subspinosus,0.241033906,0,0,0,0.246230816,0.063037151
Acomys wilsoni,0.595557186,1,0,36,0.553366257,0.086920784
Aconaemys fuscus,0.063310764,0,0,0,0.129326413,0.049312948
Aconaemys porteri,0.097033416,0,0,0,0.149068889,0.05561575
Aconaemys sagei,0.167553847,0,0,0,0.2211839,0.073900837
Acrobates pygmaeus,0.186926538,0,0,0,0.224962742,0.061946347
Addax nasomaculatus,0.724630932,1,0,49,0.648948511,0.066688855
Aepeomys lugens,0.48346117,0,0,23,0.495068964,0.086833621
Aepeomys reigi,0.101081339,0,0,0,0.153221216,0.056585016
Aepyceros melampus,0.649693244,1,0,47,0.626922093,0.090624711
Aepyprymnus rufescens,0.283521502,0,0,0,0.311821297,0.075435047
Aeretes melanopterus,0.570707969,1,0,37,0.5661975,0.079994135
Aeromys tephromelas,0.865476588,1,1,50,0.815581127,0.06471364
Aeromys thomasi,0.828298457,1,1,50,0.783890322,0.075306928
